I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
3642,Tsu,1939,6,22,19,19,26,13,6.4,,6.4,6.8,,6.3,,9,GHANA,,GHANA:  ACCRA,5.18,-0.13
6342,Tsu,1939,8,15,3,52,,,5.6,,,5.6,,,,8,CUBA,,CUBA: SANTA CLARA,22.2,-79.1
8013,,1939,9,19,,,,,5.5,,5.5,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,24.4,102.5
3645,,1939,9,21,0,37,    ,,6.5,,,,,,6.5,9,TURKEY,,TURKEY,39.1,26.8
3647,,1939,11,21,8,43,    ,80,5.9,,,,,,5.9,7,TURKEY,,TURKEY:  ERZINCAN,39.7,40.4
3649,,1939,11,21,11,2,    ,220,6.9,,,,,,6.9,,AFGHANISTAN,,AFGHANISTAN,36.3,70.6
3651,Tsu,1939,12,21,21,0,40,150,8,,8,,,,,,INDONESIA,,"INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I",       ,123
6510,Tsu,1939,12,26,23,57,22.6,35,7.7,7.7,7.8,,,,,12,TURKEY,,TURKEY:  ERZINCAN,39.77,39.533
8014,,1940,1,19,5,23,48,,6,,6,,,,,,CHINA,,CHINA:  NEI MONGOL,42.7,121.3
3659,,1940,4,6,13,43,2,,6,,6,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,23.9,102.3
3660,,1940,5,7,22,23,    ,19,6,,,,,,6,,TURKEY,,TURKEY-CIS,41.7,43.8
3662,,1940,5,19,4,36,40.9,16,7.2,,7.2,6.9,6.4,,,10,USA,CA,CALIFORNIA; MEXICO,32.733,-115.5
3666,Tsu,1940,5,24,16,33,57,60,8.2,8.2,8.4,,,,,10,PERU,,PERU,-10.5,-77
8015,,1940,6,19,,,,,5.5,,5.5,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,24.4,102.5
3669,,1940,7,14,5,52,53.5,65,7.4,,,7.4,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,52,178.2
6343,Tsu,1940,8,1,15,8,24,10,7.5,,7.5,,,,,9,JAPAN,,JAPAN:  W. HOKKAIDO ISLAND,44.2,139.5
3671,,1940,8,5,9,55,15,,5.8,,5.8,,,,,8,CHINA,,CHINA:  LIAONING PROVINCE,40.2,122
6323,Tsu,1940,10,4,7,54,42,75,7.3,,7.3,,,,,,CHILE,,CHILE:  NORTHERN,-22,-71
6344,Tsu,1940,10,11,18,41,13,33,7,,7,,,,,,CHILE,,CHILE:  S,-41.5,-74.5
3673,,1940,11,10,1,39,    ,150,7.3,,,,,,7.3,10,ROMANIA,,ROMANIA,45.8,26.8
8182,,1941,1,11,8,32,59,,5.9,,5.9,6.5,,,,8,YEMEN,,YEMEN:  RAZIH,16.4,43.5
6345,Tsu,1941,1,13,16,27,44.7,15,7.4,7.4,7,7,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4.175,152.071
6346,Tsu,1941,2,9,9,44,4,,6.6,,6.6,,6.4,,,6,USA,CA,CALIFORNIA:  NORTHERN,40.5,-125.25
3675,,1941,2,16,16,38,    ,,6.3,,,,,,6.3,,IRAN,,IRAN:  MOHAMMADABAD,33.5,58.6
3678,,1941,4,15,19,9,    ,60,7.9,,,,,,7.9,7,MEXICO,,"MEXICO:  MICHOACAN, COLIMA, JALISCO",18.9,-102.9
3679,,1941,5,5,15,18,27,,6,,6,,,,,8,CHINA,,CHINA:  HEILONGJIANG PROVINCE,47,127.2
8016,,1941,5,16,7,14,32,,7,,7,,,,,9,CHINA,,CHINA:  YUNNAN PROVINCE,23.6,99.4
3681,Tsu,1941,6,26,11,52,,55,7.6,7.6,8.1,,,,,,INDIA,,"INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO",12.5,92.5
3684,,1941,9,10,21,53,    ,28,6,,,,,,6,8,TURKEY,,"TURKEY:  VAN, ERCIS",39.5,43.3
3686,,1941,10,8,15,24,20,,6,,6,,,,,8,CHINA,,CHINA:  SICHUAN PROVINCE,31.7,102.3
3687,,1941,11,12,10,4,    ,70,5.9,,,,,,5.9,8,TURKEY,,TURKEY:  ERZINCAN,39.7,39.4
3688,Tsu,1941,11,18,16,46,,10,7.4,,7.4,,,,,,JAPAN,,JAPAN:  SHIKOKU,32,132.1
3690,Tsu,1941,11,25,18,3,55,,8.3,,8.3,,,,,9,ATLANTIC OCEAN,,ATLANTIC OCEAN:  NORTHERN,37.417,-18.983
3691,Tsu,1941,12,5,20,46,58,,7.6,,7.6,,,,,4,COSTA RICA,,COSTA RICA-PANAMA,8.7,-83.2
6347,Tsu,1941,12,6,21,24,40,,6.9,,6.9,,,,,,COSTA RICA,,COSTA RICA-PANAMA,8.5,-84
3693,,1941,12,16,19,19,42,,7.1,,,,,,7.1,,TAIWAN,,TAIWAN,23.3,120.3
3695,,1941,12,26,14,48,9,,7,,7,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,22.7,99.9
3696,,1942,2,1,17,30,47,,6.8,,6.8,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE:  SIMAO,23.1,100.3
3697,,1942,4,8,15,40,    ,25,7.8,,,,,,7.8,,PHILIPPINES,,PHILIPPINES:  MINDORO,13.5,121
3699,,1942,5,14,2,13,    ,30,7.9,,7.9,7.7,,,,9,ECUADOR,,ECUADOR:  GUAYAQUIL,-0.75,-81.5
3704,Tsu,1942,5,22,10,30,36,130,5.8,,5.8,,,,,,COLOMBIA,,COLOMBIA,4.6,-74.5
3705,,1942,5,28,1,1,48,120,7.5,,7.5,,,,,,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA,       ,124
7892,,1942,7,8,21,22,27,,6,,6,,,,,8,CHINA,,CHINA:  NEI MONGOL:  TONGLIAO,43,122
3708,,1942,8,6,23,36,59,50,7.9,,7.9,7.7,,,,,GUATEMALA,,GUATEMALA:  NEAR S COAST,14,-91
3710,Tsu,1942,8,24,22,50,27,60,8.2,8.2,8.6,,,,,9,PERU,,"PERU:  ICA, NAZCA",-15,-76
3712,,1942,8,27,6,14,11,33,6,,6,,,,,10,ALBANIA,,"ALBANIA:  PESHKOPIA, MAGELLARE",41.7,20.4
3716,,1942,11,10,11,41,27,25,7.9,,7.9,,,,,,SOUTH AFRICA,,SOUTH AFRICA:  PRINCE EDWARD ISLAND,-49.5,32
3718,,1942,11,15,17,1,    ,,6.1,,,,,,6.1,8,TURKEY,,"TURKEY:  BALIKESIR,BIGADIC",39.2,28.2
3725,,1942,12,20,14,3,    ,,7.3,,7.3,,,,,10,TURKEY,,"TURKEY:  NIKSAR, ERBAA",40.9,36.5
3729,,1942,12,29,3,42,    ,15,6,,,,,,6,10,CROATIA,,BALKANS NW:  CROATIA,43.4,17.2
3730,,1943,1,20,15,32,    ,,6.6,,,,,,6.6,,TURKEY,,TURKEY:  HENDEK,40.8,30.5
8238,,1943,1,30,5,33,3,100,6.9,,6.9,,,,,6,ECUADOR,,ECUADOR:  GUAYAQUIL,-2.1,-80.5
3733,,1943,1,31,5,1,,,5,,5,,,,,,PERU,,"PERU:  YANACOA, PAMPAMARCA",-14.2,-71.5
3737,,1943,2,22,9,20,    ,60,7.5,,,,,,7.5,7,MEXICO,,MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS,16.7,-101.5
3739,,1943,4,5,1,56,1,,6.5,,6.5,,,,,,CHINA,,CHINA: XINJIANG WEIWUER ZIZHIQU PROVINCE,39.3,73.3
3740,Tsu,1943,4,6,16,7,15,35,8.2,8.2,7.9,7.6,,,,,CHILE,,CHILE:  ILLAPEL,-30.75,-72
3742,,1943,4,16,,,    ,,5,,,,,,5,,ALGERIA,,ALGERIA:  MANSOURAH,36.1,4.5
3744,,1943,5,25,23,7,36,33,8.1,,8.1,,,,,,PHILIPPINES,,PHILIPPINES:  E OF,7.5,128
3745,,1943,6,9,3,6,22,50,7.6,,7.6,,,,,,INDONESIA,,INDONESIA:  S SUMATERA,-1,101
3747,,1943,6,20,15,33,    ,15,6.2,,,,,,6.2,10,TURKEY,,"TURKEY:  HENDEK, ADAPAZARI",40.6,30.5
8017,,1943,6,21,,,,,5,,5,,,,,6,CHINA,,CHINA:  SICHUAN PROVINCE,30.6,104.1
3749,,1943,7,23,14,53,9,90,8.1,,8.1,,,,,8,INDONESIA,,INDONESIA:   JAVA:  JOGYAKARTA,-9.5,110
3751,,1943,7,29,3,2,    ,,7.8,,,,,,7.8,,USA TERRITORY,PR,PUERTO RICO:  SAN JUAN,19.3,-67.5
3752,,1943,9,6,3,41,    ,25,7.9,,,,,,7.9,,AUSTRALIA,TAS,AUSTRALIA:  MACQUARIE ISLAND,-53,159
3755,,1943,9,10,8,37,,10,7.4,,,,,,7.4,,JAPAN,,JAPAN:  HONSHU:  S,35.3,133.9
3758,,1943,9,14,2,1,    ,50,7.5,,,,,,7.5,,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-22,171
3759,,1943,9,14,7,18,    ,60,7.6,,,,,,7.6,,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS:  S OF,-30,-177
3761,,1943,10,23,,,    ,,7.2,,,,,,7.2,,MYANMAR (BURMA),,MYANMAR (BURMA),21.5,93.5
3762,,1943,11,6,8,31,37,60,7.6,,7.6,,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS,-6,134.5
3764,,1943,11,26,22,20,36,33,7.6,,7.6,,,,,11,TURKEY,,"TURKEY:  LADIK, SAMSUN, HAVZA",41,33.7
3768,,1943,11,28,17,11,    ,350,7.6,,,,,,7.6,,RUSSIA,,RUSSIA:  KAMCHATKA,54.9,156.8
3770,,1944,1,15,23,49,    ,50,7.8,,,,,,7.8,,ARGENTINA,,ARGENTINA:  SAN JUAN PROVINCE,-31.5,-68.5
3774,,1944,2,1,3,23,    ,33,7.4,,7.4,,,,,10,TURKEY,,TURKEY,41.4,32.7
8018,,1944,3,9,22,12,58,,7.2,,7.2,,,,,,CHINA,,CHINA:  XINJIANG PROVINCE,44,84
3777,,1944,3,22,0,43,18,220,7.5,,7.5,,,,,,INDONESIA,,INDONESIA:  FLORES,-8.5,123.5
3779,,1944,5,25,12,58,    ,60,7.5,,,,,,7.5,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,-2.5,152.8
3780,,1944,6,25,4,16,    ,33,6,,,,,,6,8,TURKEY,,TURKEY:  USAK,38.9,29.3
3781,,1944,7,30,4,,    ,8,5.7,,,,,,5.7,10,GREECE,,GREECE:  KAMPOS (LACONIA),36.7,22.5
3784,,1944,9,5,4,38,45.7,12,5.6,,5.6,,,,5.6,8,USA,NY,NEW YORK:  MASSENA,44.957,-74.723
8019,,1944,9,27,16,25,7,,7,,7,,,,,,CHINA,,CHINA:  XINJIANG,39.1,75
3787,,1944,10,5,17,28,    ,120,7.5,,,,,,7.5,,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.5,172
3789,,1944,10,6,2,34,36,,6.8,,6.8,,,,,9,TURKEY,,TURKEY:  AYVALIK,39.4,26.7
3790,,1944,11,24,4,49,    ,170,7.5,,,,,,7.5,,VANUATU,,VANUATU ISLANDS,-19,169
3791,Tsu,1944,12,7,4,35,,30,8.1,8.1,8,,,,,,JAPAN,,JAPAN:  OFF SOUTHEAST COAST KII PENINSULA,34,137.1
3797,Tsu,1945,1,12,18,38,,,7.1,,7.1,,,,,,JAPAN,,JAPAN:  HONSHU:  S,34.7,137.2
3800,,1945,3,18,8,1,26,,6,,6,,,,,9,UGANDA,,UGANDA:  MASARA,       ,32
3801,,1945,3,20,7,59,    ,60,6,,,,,,6,7,TURKEY,,"TURKEY:  AELANA, CEYHAN, ADANA",37.4,35.8
3806,,1945,9,12,0,51,    ,,6.2,,,,,,6.2,8,CAMEROON,,CAMEROON:  CONGO; CENTRAL AFRICAN REPUBLIC,2.5,15.6
3807,,1945,9,23,15,34,21,,6.3,,6.3,,,,,8,CHINA,,CHINA:  HEBEI PROVINCE,39.5,119
3811,Tsu,1945,11,27,21,56,50,15,8,8,8,7.7,,,,10,PAKISTAN,,PAKISTAN:  MAKRAN COAST,24.5,63
3816,,1945,12,28,17,48,    ,60,7.8,,,,,,7.8,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,-6,150
3819,,1946,2,12,2,43,24,,5.6,,5.6,,,,,9,ALGERIA,,ALGERIA:  HODNA MOUNTAINS,35.75,5
3820,,1946,2,21,15,43,    ,60,5.6,,,,,,5.6,8,TURKEY,,"TURKEY:  IIGIN, KONYA",38.2,31.8
3822,Tsu,1946,4,1,12,29,1.3,15,8.6,8.6,7.3,,,,,6,USA,AK,ALASKA:  UNIMAK ISLAND,53.492,-162.832
3825,,1946,5,31,3,12,    ,,5.9,,,,,,5.9,8,TURKEY,,TURKEY:  USTUKRAN,39.3,41.2
6349,Tsu,1946,6,23,17,13,19,,7.3,,,,,,7.3,,CANADA,BC,BRITISH COLUMBIA,49.87,-124.92
3827,Tsu,1946,8,2,19,18,48,60,7.9,,7.9,,,,,,CHILE,,CHILE:  NORTHERN,-26.5,-70.5
3828,Tsu,1946,8,4,17,51,5,15,7.9,7.9,8,,,,,,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC:  NORTHEASTERN COAST,19.25,-69
3831,Tsu,1946,8,8,13,28,33.8,15,7.5,7.5,7.6,,,,,,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC:  NORTHEASTERN COAST,19.5,-69.5
3832,,1946,9,12,15,17,17,60,7.5,,7.5,,,,,,MYANMAR (BURMA),,MYANMAR (BURMA),23.9,96.2
3833,,1946,9,12,15,20,23,60,7.8,,7.8,,,,,,MYANMAR (BURMA),,MYANMAR (BURMA),23.9,96.2
3834,,1946,9,29,3,1,    ,60,7.7,,,,,,7.7,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,-4.5,153.5
6351,Tsu,1946,9,30,0,59,40,70,7,,7,,,,,7,PERU,,PERU:  PISCO,-14,-76.25
3835,,1946,11,2,18,28,    ,35,7.6,,,,,,7.6,10,KYRGYZSTAN,,KYRGYZSTAN,41.5,72.5
3837,,1946,11,4,21,47,    ,26,7.5,,,,,,7.5,,TURKMENISTAN,,TURKMENISTAN,39.3,55.4
3839,,1946,11,10,17,42,    ,12,7.3,,,,,,7.3,11,PERU,,"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5
3841,,1946,12,4,22,47,39,,6.8,,6.8,,,,,9,TAIWAN,,TAIWAN,23.1,120.3
3845,Tsu,1946,12,20,19,19,5,20,8.1,8.1,8.1,,,,,,JAPAN,,JAPAN:  HONSHU:  S COAST,33,135.6
3851,,1947,3,17,8,19,41,,7.7,,7.7,,,,,,CHINA,,CHINA:  QINGHAI PROVINCE,33.3,99.5
6353,Tsu,1947,3,25,20,32,15,12,7.1,7.1,7.2,,5.9,,,4,NEW ZEALAND,,NEW ZEALAND:  OFF COAST NORTH ISLAND,-38.85,178.87
8020,,1947,3,26,20,48,32,,5.5,,5.5,,,,,7,CHINA,,CHINA:  YUNNAN PROVINCE,25,102
3852,,1947,4,10,15,58,    ,,6.4,,,,,,6.4,,USA,CA,CALIFORNIA,35,-116.6
3853,,1947,5,6,20,30,32,33,7.3,7.3,7.5,7.2,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,-6.5,148.5
6354,Tsu,1947,5,17,7,6,    ,12,6.9,6.9,7.2,,5.6,,,,NEW ZEALAND,,NEW ZEALAND:  OFF COAST NORTH ISLAND,-38.42,178.88
8021,,1947,6,7,5,5,    ,,5.5,,5.5,,,,,7,CHINA,,CHINA:  SICHUAN PROVINCE,26.7,102.9
3857,,1947,7,29,13,43,22,60,7.9,,7.9,,,,,,INDIA,,INDIA-CHINA,28.5,94
3858,,1947,8,5,14,24,10,,7.6,,7.6,,,,,,PAKISTAN,,PAKISTAN:  GWADAR,25.5,63
3860,,1947,8,6,9,36,40,,5.3,,5.3,,,,,9,ALGERIA,,ALGERIA,37,8
3863,,1947,9,23,12,28,    ,,6.9,,,,,,6.9,,IRAN,,IRAN:  DUSTABAD,33.4,58.7
3864,Tsu,1947,10,6,19,55,37,28,6.9,,6.9,7.1,,,,9,GREECE,,GREECE:  S:  PYLIA (MESSINIA),37,22
3866,,1947,11,1,14,58,    ,100,7.3,,,,,,7.3,10,PERU,,"PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75
6355,Tsu,1947,11,4,0,9,10,33,7,,7,,,,,,JAPAN,,"W. HOKKAIDO ISLAND, JAPAN",43.8,141
3869,Tsu,1948,1,24,17,46,40,33,8.3,,8.3,,,,,9,PHILIPPINES,,"PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE",10.5,122
3871,Tsu,1948,2,9,12,58,13,30,7.1,,7.1,,,,,10,GREECE,,GREECE:  DODECANESE ISLANDS,35.5,27
3872,,1948,3,1,1,12,28,60,7.9,,7.9,,,,,,INDONESIA,,INDONESIA:  SERAM,-3,127.5
3873,Tsu,1948,4,22,10,42,47.1,15,6.5,6.5,,,,,,10,GREECE,,GREECE:  VASILIKI (LEUKAS),38.532,20.425
3875,,1948,5,11,8,56,    ,60,7.1,,,,,,7.1,10,PERU,,"PERU:  AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",-17.4,-71
3877,,1948,5,14,22,31,    ,25,7.5,,,,,,7.5,,USA,AK,ALASKA:  ALASKA PENINSULA,54.5,-161
3878,,1948,5,25,7,11,21,18,7.3,,7.3,,,,,10,CHINA,,CHINA:  SICHUAN PROVINCE,29.5,100.5
3880,,1948,5,28,5,37,    ,55,6.8,,,,,,6.8,7,PERU,,PERU:  CANETE,-13.1,-76.2
6629,Tsu,1948,6,2,18,58,18,,6.2,,6.2,,,,,,INDONESIA,,INDONESIA:  OFF NORTHWEST COAST,6,95
3881,,1948,6,27,0,8,23,,6.8,,6.8,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,26.4,99.7
3884,,1948,6,28,7,13,    ,20,7.3,,,,,,7.3,,JAPAN,,JAPAN:  FUKUI,36.5,136
3886,,1948,6,30,12,21,    ,33,6.4,,,,,,6.4,11,GREECE,,GREECE:  TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5
3889,Tsu,1948,9,8,15,9,    ,25,7.9,,,,,,7.9,,TONGA,,TONGA ISLANDS,-21,-174
3891,,1948,10,5,20,12,7,18,7.3,,7.3,,,,,10,TURKMENISTAN,,TURKMENISTAN:  ASHKHABAD,37.95,58.32
8022,,1948,10,8,19,1,57,,5.8,,5.8,,,,,8,CHINA,,CHINA:  GUIZHOU PROVINCE,27.4,104
3894,Tsu,1948,12,4,0,22,48,,6.9,,6.9,,,,,,MEXICO,,MEXICO:  MARIA MADRE ISLAND,22,-106
6357,Tsu,1948,12,26,7,12,21,100,7,,7,,,,,7,CHILE,,CHILE:  ANTOFAGASTA,-22.5,-69
8023,,1949,2,23,16,8,11,,7.3,,7.3,,,,,9,CHINA,,CHINA:  XINJIANG PROVINCE,42,84
3897,,1949,3,4,10,19,25,230,7.5,,7.5,,,,,8,AFGHANISTAN,,"AFGHANISTAN:  HINDU-KUSH, WEST PUNJAB",36,70.5
3898,Tsu,1949,4,13,19,55,42,,7,,7,6.9,,,,8,USA,WA,WASHINGTON,47.167,-122.617
3901,Tsu,1949,4,20,3,29,7,70,7.3,,7.3,,,,,,CHILE,,"CHILE:  ANGOL, TRAIGUEN",-38,-73.5
3902,,1949,4,24,4,22,,100,6.3,,6.3,6.1,,,,,IRAN,,"IRAN:  MAKHL-E-NAKHODA,BANDAR ABBAS,BAZAAR",27.28,56.46
6359,Tsu,1949,5,9,13,36,18,,6.7,,6.7,,,,,,INDONESIA,,INDONESIA:  BANDA ACEH,5,95
3905,,1949,7,10,3,53,38,16,7.4,,7.4,,,,,10,TAJIKISTAN,,TAJIKISTAN,39.2,70.8
3907,Tsu,1949,7,23,15,3,30,,6.7,,6.7,,,,,9,GREECE,,"GREECE:  CHIOS, OENOUSSAE; TURKEY: KARABURUN",38.58,26.23
3912,,1949,8,4,19,8,    ,10,6.7,,,,,,6.7,10,ECUADOR,,ECUADOR:  PELILEO,-1.4,-78.5
3914,,1949,8,5,19,8,    ,60,6.8,,,,,,6.8,,ECUADOR,,ECUADOR,-1.5,-78.2
3916,,1949,8,6,0,35,    ,70,7.5,,,,,,7.5,,TONGA,,TONGA ISLANDS,-18.5,-174.5
3917,,1949,8,17,18,43,    ,,6.8,,,,,,6.8,10,TURKEY,,TURKEY: KARLIOVA,39,40.5
3921,Tsu,1949,8,22,4,1,12.2,25,8.1,8.1,8.1,,,,,,CANADA,,CANADA:  QUEEN CHARLOTTE ISLANDS,53.62,-133.27
9908,Tsu,1949,9,5,2,54,1,80,6.4,,6.4,,,,,,PHILIPPINES,,PHILIPPINES:  N LUZON,17,121.5
6360,Tsu,1949,10,19,21,0,19,60,7.5,7.5,7.1,7.4,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-5.5,154
8024,,1949,11,13,5,27,11,,5.5,,5.5,,,,,,CHINA,,CHINA:  SICHUAN PROVINCE,30.3,102.5
3926,Tsu,1949,12,17,6,53,30,33,7.8,,7.8,,,,,,CHILE,,CHILE:  TIERRA DEL FUEGO,-54,-71
3927,Tsu,1949,12,17,15,7,55,33,7.8,,7.8,,,,,,CHILE,,CHILE:  TIERRA DEL FUEGO,-54,-71
3929,Tsu,1949,12,29,3,3,54,,7.2,,7.2,,,,,8,PHILIPPINES,,PHILIPPINES:  LUZON:  E,17,121.63
6588,Tsu,1950,1,30,0,56,32,33,7,,7,,,,,6,CHILE,,CHILE:  SOUTHERN,-53.5,-71.5
8025,,1950,2,2,19,33,39,,7,,7,,,,,,CHINA,,CHINA:  YUNNAN PROVINCE,21.7,100.1
3935,,1950,2,28,10,20,    ,340,7.9,,,,,,7.9,6,RUSSIA,,RUSSIA:  SEA OF OKHOTSK,46,144
6361,Tsu,1950,3,14,18,10,41,,5.8,,5.8,,,,,,NEW ZEALAND,,N. NEW ZEALAND,-37.8,177.2
3938,,1950,5,16,13,23,    ,250,7.9,,,,,,7.9,,PERU,,PERU,-15,-69.5
3940,,1950,5,21,18,37,    ,,6,,,,,,6,,PERU,,PERU:  CUSCO,-13.5,-72
3943,,1950,6,19,12,36,54,,6.5,,6.5,,,,,7,INDONESIA,,INDONESIA:  JAVA:  GRESIK,-6,113
3948,Tsu,1950,8,3,22,18,    ,8,6.8,,,,,,6.8,,VENEZUELA,,VENEZUELA: EL TOCUYO,10.5,-68
3949,,1950,8,5,19,8,    ,60,6.8,,,,,,6.8,11,ECUADOR,,ECUADOR,-1.5,-78.2
3950,Tsu,1950,8,15,14,9,30,33,8.6,8.6,8.6,8,,,,11,INDIA,,INDIA-CHINA,28.5,96.5
8026,,1950,9,13,0,3,7,,5.8,,5.8,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,23.5,103.1
3954,Tsu,1950,10,5,16,9,31,60,7.7,,7.7,,,,,,COSTA RICA,,COSTA RICA-NICARAGUA,11,-85
3955,Tsu,1950,10,8,3,23,9,60,7.6,,7.6,,,,,,INDONESIA,,INDONESIA:  SERAM,-3.8,128.3
6362,Tsu,1950,10,23,16,13,20,65,7.5,7.5,7.1,,,,,,GUATEMALA,,GUATEMALA:  SAN MARCOS,14.31,-91.917
3956,,1950,11,2,15,27,56,60,8.1,,8.1,,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-6.5,129.5
6363,Tsu,1950,11,8,2,18,12,33,7.3,,7.3,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SOLOMON SEA,-10,159.5
3957,,1950,11,17,19,28,    ,,6.8,,,,,,6.8,11,MEXICO,,MEXICO:  GUERRERO,16.5,-100.4
3959,,1950,12,2,19,51,49,60,7.8,,7.8,,,,,,VANUATU,,VANUATU ISLANDS,-18.25,167.5
3961,,1950,12,9,21,38,48,100,8,,8,,,,,7,CHILE,,CHILE-ARGENTINA,-23.5,-67.5
3962,Tsu,1950,12,10,2,50,42,80,7,,7,,,,,,PERU,,"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",-14.25,-75.75
3966,,1950,12,14,1,52,46,200,7.7,,7.7,,,,,6,TONGA,,TONGA ISLANDS,-19.5,-176
3964,Tsu,1950,12,14,14,15,49,50,7.5,,7.5,,,,,5,MEXICO,,MEXICO:  ACAPULCO,16.48,-98.22
3968,,1951,3,19,,,    ,,7.8,,,,,,7.8,,PHILIPPINES,,PHILIPPINES,9.5,127.3
3970,,1951,5,6,23,8,    ,100,6.5,,,,,,6.5,,EL SALVADOR,,EL SALVADOR:  JUCUAPA,13,-87.8
3972,,1951,5,16,13,23,    ,250,7.9,,,,,,7.9,,PERU,,PERU,-15,-69.5
3973,,1951,7,9,0,4,    ,50,6.2,,,,,,6.2,,MEXICO,,MEXICO:  OAXACA:  MIAHIATLAN,16.1,-96.8
3974,Tsu,1951,8,3,0,23,58,100,6,,6,,,,,,NICARAGUA,,NICARAGUA:  GULF OF FONSECA:  POTOSI,13,-87.5
3975,,1951,8,6,8,8,56,100,5.5,,5.5,,,,,,NICARAGUA,,NICARAGUA:  GULF OF FONSECA:  JINOTEGA,13,-87.5
3977,,1951,8,13,18,33,    ,,6.7,,,,,,6.7,9,TURKEY,,TURKEY:  KURSUNLU,40.8,33.4
3980,Tsu,1951,8,21,10,57,    ,60,6.9,,,,,,6.9,,USA,HI,HAWAII,19.7,-156
3982,Tsu,1951,10,22,5,43,1,21,7.3,,7.3,,,,,,TAIWAN,,TAIWAN,23.8,121.7
3984,,1951,11,18,9,35,50,25,7.5,7.5,8,,,,,,CHINA,,CHINA:  TIBET (XIZANG PROVINCE),31.1,91.4
3985,,1951,11,24,18,47,13,,7.5,,7.5,,,,,,TAIWAN,,TAIWAN,22.9,121.5
3987,,1951,12,8,4,14,12,25,7.9,,7.9,,,,,,INDIAN OCEAN,,INDIAN OCEAN:  S,-34,57
8027,Tsu,1951,12,21,8,37,29,,6.3,,6.3,,,,,9,CHINA,,CHINA:   YUNNAN PROVINCE,26.7,100
3989,,1952,1,3,6,3,    ,,6,,,,,,6,8,TURKEY,,"TURKEY:  PASINLER (HASANKALE), ERZURUM",39.9,41.7
3991,,1952,2,26,11,31,    ,,7.5,,,,,,7.5,,PERU,,PERU-BOLIVIA,-14.1,-69.9
3993,Tsu,1952,3,4,1,22,41,45,8.1,8.1,8.3,,,,,9,JAPAN,,JAPAN:  HOKKAIDO,42.15,143.85
3995,Tsu,1952,3,9,17,3,    ,,7.1,,,,,,7.1,,JAPAN,,JAPAN:  HOKKAIDO,41.7,142.5
3996,Tsu,1952,3,19,10,57,12,,7.8,,7.8,,,,,7,PHILIPPINES,,PHILIPPINES:  BUTUAN,9.5,127.25
8031,,1952,6,19,12,12,59,,6.5,,6.5,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,22.7,99.8
9916,Tsu,1952,7,13,11,58,33,260,6.8,,6.8,,,,,,VANUATU,,VANUATU ISLANDS,-18.5,169.25
3999,,1952,7,21,11,52,14,16,7.7,,7.7,7.3,7.2,,7.7,11,USA,CA,CALIFORNIA:  KERN COUNTY,35,-119.017
