I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
2635,,1902,9,23,20,18,30,100,7.8,,7.8,,,,,,MEXICO,,"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",16.6,-92.6
2637,,1902,12,12,23,10,,60,7.8,,7.8,,,,,,MEXICO,,MEXICO:  BAJA CALIFORNIA,29,-114
2640,,1902,12,16,5,7,,9,6.4,,6.4,,,,,9,UZBEKISTAN,,UZBEKISTAN:   ANDIZHAN,40.8,72.3
2641,,1903,1,4,5,7,    ,400,8,,8,,,,,,TONGA,,TONGA ISLANDS,-20,-175
2642,,1903,1,14,1,47,36,33,7.7,,7.7,,,,,,MEXICO,,MEXICO:  OFF COAST OF GUERRERO,15,-98
2644,,1903,2,1,9,34,    ,60,7.8,,,,,,7.8,,MONGOLIA,,MONGOLIA,48,98
2645,,1903,2,27,0,43,18,,8.1,,8.1,,,,,,INDONESIA,,INDONESIA:  S OF JAVA,-8,106
2646,,1903,3,29,22,30,    ,,5.7,,,,,,5.7,,ISRAEL,,ISRAEL:  NABULUS,32.2,35.3
6237,Tsu,1903,3,30,,,,33,6.5,,6.5,,,,,,INDONESIA,,"INDONESIA:  TIFU, MASARETE, KAJELI",-3,127.5
2649,,1903,4,28,23,46,,,6.3,,6.3,,,,,10,TURKEY,,TURKEY:  MALAZGIRT,39.1,42.5
2652,,1903,5,13,6,34,6,60,7.9,,7.9,,,,,,VANUATU,,VANUATU ISLANDS,-17,168
2653,,1903,5,28,3,58,    ,,5.8,,,,,,5.8,8,TURKEY,,"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7
2656,Tsu,1903,6,2,13,17,,,8.3,,8.3,,,,,,USA,AK,ALASKA:  SOUTHWEST,61.56,-158.54
2658,,1903,8,8,1,10,    ,,7.7,,,,,,7.7,,COLOMBIA,,COLOMBIA,4.6,-74
2660,,1903,8,11,4,32,54,100,7.8,,7.8,,,,,11,GREECE,,GREECE:  MITATA (KYTHERA),36,23
2664,,1903,9,25,1,20,    ,,6.5,,,,,,6.5,,IRAN,,IRAN:  KASHMAR,35.2,58.2
6239,Tsu,1903,12,7,14,25,,,6.5,,6.5,,,,,8,CHILE,,"CHILE:  VALLENAR, FREIRINA",-28.5,-71
2665,,1903,12,28,2,56,,60,7.8,,7.8,,,,,8,PHILIPPINES,,PHILIPPINES:  DAVAO GULF,7,126
2666,Tsu,1904,1,20,14,52,6,60,7.9,,7.9,,,,,,COLOMBIA,,PANAMA-COLOMBIA,7,-79
2667,,1904,3,18,13,42,    ,40,7.6,,,,,,7.6,10,JAPAN,,JAPAN:  HOKKAIDO,42.5,145.8
2670,,1904,4,4,10,3,,15,7.5,,7.5,,,,,10,BULGARIA,,BULGARIA:  STRUMA,41.8,23.2
2671,,1904,4,4,10,27,,15,7.8,,7.8,,,,,11,BULGARIA,,BULGARIA:  STRUMA,41.8,23.2
7991,,1904,4,24,6,39,,,6,,6,,,,,,TAIWAN,,TAIWAN:  JIAYI,23.5,120.5
2676,,1904,6,7,8,17,    ,350,7.9,,,,,,7.9,,JAPAN,,JAPAN:  SEA OF JAPAN,40,134
2678,Tsu,1904,6,25,14,45,36,30,8.3,,8.3,,,,7.7,10,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52,159
2679,Tsu,1904,6,25,21,0,36,30,8.1,,8.1,,,,7.7,10,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52,159
2682,,1904,6,27,0,9,    ,60,7.9,,7.9,,,,7.9,9,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52,159
2683,Tsu,1904,8,8,22,51,    ,33,7.5,,,,,,7.5,,NEW ZEALAND,,NEW ZEALAND:  E OF NORTH ISLAND,-40.5,177
2684,,1904,8,11,5,56,,10,6.2,,6.2,,,,,10,GREECE,,"GREECE:  SAMOS, PATMOS",37.75,27
2688,,1904,8,24,20,59,    ,25,7.9,,,,,,7.9,,JAPAN,,JAPAN:  KYUSHU,30,130
2690,,1904,8,27,21,56,,,8.3,,8.3,7.8,,,,6,USA,AK,ALASKA:  RAMPART,64.66,-148.08
2694,,1904,8,30,,,,,6,,6,,,,,8,CHINA,,CHINA:  SICHUAN PROVINCE,31.2,100.9
2695,,1904,11,1,11,,    ,,7.7,,,,,,7.7,,ECUADOR,,ECUADOR,-1,-80.5
2696,,1904,11,5,20,25,,,6.3,,6.3,,,,6.3,,TAIWAN,,TAIWAN:  JIAYI,23.5,120.3
2700,Tsu,1904,12,20,5,44,18,60,7.2,7.2,7.3,,,,,,PANAMA,,PANAMA:  BOCAS DEL TORO,9.2,-82.8
10144,Tsu,1905,1,20,18,23,,,6.8,,6.8,,,,,,COSTA RICA,,COSTA RICA:  PUNTARENAS,9.85,-84.68
2702,,1905,1,22,2,43,54,90,8.4,,8.4,,,,,,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA,1,123
2703,,1905,2,14,8,46,,,7.9,,7.9,7.5,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,50.73,-178.55
2707,,1905,3,18,0,58,    ,60,7.5,,,,,,7.5,,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,-27.5,-173
2709,Tsu,1905,4,4,0,50,    ,25,7.8,,7.8,,,,,10,INDIA,,INDIA:  KANGRA,33,76
2710,,1905,4,15,,,,33,6.5,,6.5,,,,,10,TURKEY,,TURKEY,40.2,29
