year,disaster,category,Country_iso,Country_name,occurrence,Total_deaths,Affected,Injured,Homeless,Total_affected,Total_damage
1976,Earthquake,deaths,CHN,China,2,242000,0,164000,0,164000,5600000
2004,Tsunami,deaths,IDN,Indonesia,1,165708,0,0,532898,532898,4451600
1985,Volcanic,deaths,COL,Colombia,1,21800,7700,5000,0,12700,1000000
2008,Earthquake,affected,CHN,China,6,87560,46655000,368383,400735,47424118,85492000
1991,Volcanic,affected,PHL,Philippines (the),3,640,1035870,195,5800,1041865,211000
2004,Tsunami,affected,LKA,Sri Lanka,1,35399,516130,23176,480000,1019306,1316500
2011,Tsunami,damage,JPN,Japan,1,19846,362887,5933,0,368820,210000000
1995,Earthquake,damage,JPN,Japan,2,5297,257355,34531,251301,543187,100000000
1985,Volcanic,damage,COL,Colombia,1,21800,7700,5000,0,12700,1000000
