I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION
15762	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.65	95.422	60	264			7.5		5												
15763	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.609	95.398	60	260			7.7		5												
15764	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.647	95.414	60	264			8.2		5												
15765	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.6	95.379	60	259			8.6		5												
15766	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.286	95.251	60	229			10.4		5												
15767	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.602	95.383	60	260			10.7		5												
15768	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.61	95.397	60	260			11		5												
15769	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.286	95.244	60	229			11.1		5												
15922	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.48	95.267	60	249			8.8		5												
15923	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.548	95.305	60	256			8.8		5												
15924	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.49	95.264	60	251			8.9		5												
15925	2439	2004	12	26		INDONESIA	ACEH	ACEH, SUMATRA	5.489	95.265	60	250			9		5												
