num,day,airport,value
3,19,MADRID BARAJAS,25
4,19,LONDON/HEATHROW,99
5,19,MUENCHEN 2,95
6,19,SCHIPHOL AMSTERDAM,97
7,19,ROME FIUMICINO,30
8,19,WIEN SCHWECHAT,42
9,19,OSLO/GARDERMOEN,47
10,19,COPENHAGEN KASTRUP,100
11,19,ZURICH,98
12,19,DUESSELDORF,95
13,19,ISTANBUL-ATATURK,10
14,19,BARCELONA,7
15,19,STOCKHOLM-ARLANDA,74
16,19,ATHINAI E. VENIZELOS,14
17,19,BRUSSELS NATIONAL,96
18,19,PARIS ORLY,89
19,19,MILANO MALPENSA,95
20,19,TEGEL-BERLIN,95
21,19,HELSINKI-VANTAA,98
22,19,GENEVE COINTRIN,95
23,19,LONDON/GATWICK,99
24,19,HAMBURG,94
25,19,KOELN-BONN,95
26,19,MILANO LINATE,89
27,19,PALMA DE MALLORCA,-4
28,19,STUTTGART,96
29,19,WARSZAWA/OKECIE,95
30,19,PRAHA RUZYNE,78
31,19,DUBLIN,99
32,19,LISBOA,22
33,19,MANCHESTER,100
34,19,NICE,35
35,19,BERGEN/FLESLAND,31
36,19,LAS PALMAS,-9
37,19,LONDON/CITY,100
38,19,FERIHEGY-BUDAPEST,77
39,19,MARSEILLE PROVENCE,-4
40,19,EDINBURGH,100
1,20,PARIS CH DE GAULLE,63
2,20,FRANKFURT MAIN,85
3,20,MADRID BARAJAS,3
4,20,LONDON/HEATHROW,97
5,20,MUENCHEN 2,87
6,20,SCHIPHOL AMSTERDAM,62
7,20,ROME FIUMICINO,-3
8,20,WIEN SCHWECHAT,20
9,20,OSLO/GARDERMOEN,52
10,20,COPENHAGEN KASTRUP,97
11,20,ZURICH,59
12,20,DUESSELDORF,80
13,20,ISTANBUL-ATATURK,10
14,20,BARCELONA,3
15,20,STOCKHOLM-ARLANDA,70
16,20,ATHINAI E. VENIZELOS,5
17,20,BRUSSELS NATIONAL,51
18,20,PARIS ORLY,54
19,20,MILANO MALPENSA,64
20,20,TEGEL-BERLIN,71
21,20,HELSINKI-VANTAA,98
22,20,GENEVE COINTRIN,59
23,20,LONDON/GATWICK,95
24,20,HAMBURG,77
25,20,KOELN-BONN,70
26,20,MILANO LINATE,-1
27,20,PALMA DE MALLORCA,-30
28,20,STUTTGART,82
29,20,WARSZAWA/OKECIE,94
30,20,PRAHA RUZYNE,48
31,20,DUBLIN,97
32,20,LISBOA,10
33,20,MANCHESTER,96
34,20,NICE,25
35,20,BERGEN/FLESLAND,80
36,20,LAS PALMAS,-14
37,20,LONDON/CITY,100
38,20,FERIHEGY-BUDAPEST,57
39,20,MARSEILLE PROVENCE,8
40,20,EDINBURGH,82
1,21,PARIS CH DE GAULLE,13
2,21,FRANKFURT MAIN,52
3,21,MADRID BARAJAS,-3
4,21,LONDON/HEATHROW,28
5,21,MUENCHEN 2,47
6,21,SCHIPHOL AMSTERDAM,28
7,21,ROME FIUMICINO,-2
8,21,WIEN SCHWECHAT,7
9,21,OSLO/GARDERMOEN,25
10,21,COPENHAGEN KASTRUP,29
11,21,ZURICH,15
12,21,DUESSELDORF,56
13,21,ISTANBUL-ATATURK,-2
14,21,BARCELONA,-9
15,21,STOCKHOLM-ARLANDA,59
16,21,ATHINAI E. VENIZELOS,-6
17,21,BRUSSELS NATIONAL,3
18,21,PARIS ORLY,3
19,21,MILANO MALPENSA,16
20,21,TEGEL-BERLIN,51
21,21,HELSINKI-VANTAA,91
22,21,GENEVE COINTRIN,22
23,21,LONDON/GATWICK,-6
24,21,HAMBURG,44
25,21,KOELN-BONN,35
26,21,MILANO LINATE,16
27,21,PALMA DE MALLORCA,-22
28,21,STUTTGART,34
29,21,WARSZAWA/OKECIE,20
30,21,PRAHA RUZYNE,20
31,21,DUBLIN,63
32,21,LISBOA,-27
33,21,MANCHESTER,10
34,21,NICE,12
35,21,BERGEN/FLESLAND,11
36,21,LAS PALMAS,-29
37,21,LONDON/CITY,56
38,21,FERIHEGY-BUDAPEST,33
39,21,MARSEILLE PROVENCE,-1
40,21,EDINBURGH,26
1,22,PARIS CH DE GAULLE,-14
2,22,FRANKFURT MAIN,-8
3,22,MADRID BARAJAS,-3
4,22,LONDON/HEATHROW,-10
5,22,MUENCHEN 2,-12
6,22,SCHIPHOL AMSTERDAM,-12
7,22,ROME FIUMICINO,-6
8,22,WIEN SCHWECHAT,2
9,22,OSLO/GARDERMOEN,27
10,22,COPENHAGEN KASTRUP,13
11,22,ZURICH,-2
12,22,DUESSELDORF,-7
13,22,ISTANBUL-ATATURK,-1
14,22,BARCELONA,3
15,22,STOCKHOLM-ARLANDA,28
16,22,ATHINAI E. VENIZELOS,-8
17,22,BRUSSELS NATIONAL,-37
18,22,PARIS ORLY,-5
19,22,MILANO MALPENSA,-1
20,22,TEGEL-BERLIN,16
21,22,HELSINKI-VANTAA,72
22,22,GENEVE COINTRIN,0
23,22,LONDON/GATWICK,-26
24,22,HAMBURG,-19
25,22,KOELN-BONN,-5
26,22,MILANO LINATE,12
27,22,PALMA DE MALLORCA,-6
28,22,STUTTGART,-13
29,22,WARSZAWA/OKECIE,-12
30,22,PRAHA RUZYNE,0
31,22,DUBLIN,6
32,22,LISBOA,-12
33,22,MANCHESTER,-1
34,22,NICE,-6
35,22,BERGEN/FLESLAND,81
36,22,LAS PALMAS,-11
37,22,LONDON/CITY,-5
38,22,FERIHEGY-BUDAPEST,-3
39,22,MARSEILLE PROVENCE,8
40,22,EDINBURGH,15
